id_pk,name,easting,northing,elev,pad,azimuth,dip,length
1,MOY18-04,692934.0,667116.0,276.9,C,135,45,155.5
2,MOY18-05,693082.0,667048.0,259.0,B,315,45,106.0
3,MOY18-06,692934.0,667116.0,276.9,C,135,63,159.0
4,MOY18-07,693082.0,667048.0,259.0,B,315,75,94.5
5,MOY18-08,692924.0,667003.0,271.0,W,135,45,128.5
7,MOY18-10,692875.0,667012.0,272.0,X,135,45,137.5
6,MOY18-09,693011.0,666969.0,262.0,V,315,45,61.0
8,MOY18-11,693167.44,667130.69,260.0,R,315,45,139.0
9,MOY18-12,693099.47,667176.35,266.0,T,135,45,122.5
10,MOY18-13,693069.0,667192.0,272.535,U,125,50,129.6
11,MOY18-14,693069.0,667192.0,272.535,U,135,50,133.0
12,MOY18-15,693216.0,667163.0,253.989,J,315,45,170.5
13,MOY18-16,693265.192,667230.3742,249.813,H,311,46,186.0
14,MOY18-17,693141.0,667225.0,273.0,K,125,75,117.0
15,MOY18-18,692854.8135,667017.788,271.0,X,125,60,108.0
